Doctor_Name,Specialization,State_UT,City_Town_District,Hospital,Contact_Number,Available_Slots,Consultation_Mode
Dr. Yashvi Badami,Ophthalmologist,Maharashtra,Nashik,Nashik District Hospital,9616824842,06:00 PM - 09:00 PM | 04:00 PM - 07:00 PM,Both
Dr. Hunar Mahal,Oncologist,Bihar,Begusarai,"Apollo Hospital, Begusarai",0238532444,02:00 PM - 05:00 PM | 02:00 PM - 05:00 PM,Both
Dr. Hridaan Solanki,Orthopedic Surgeon,Odisha,Sambalpur,"Kalinga Hospital, Sambalpur",2484405205,09:00 AM - 12:00 PM | 02:00 PM - 05:00 PM,Both
Dr. Badal Upadhyay,Nephrologist,Maharashtra,Pune,"Lilavati Hospital, Pune",9199165368,09:00 AM - 12:00 PM | 09:00 AM - 12:00 PM,Both
Dr. Divit Sridhar,Gastroenterologist,Punjab,Pathankot,"BLK Hospital, Pathankot",1645717970,02:00 PM - 05:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Gokul Bobal,Urologist,Bihar,Samastipur,Samastipur District Hospital,4995910886,04:00 PM - 07:00 PM | 02:00 PM - 05:00 PM,Both
Dr. Devansh Sengupta,Nephrologist,Rajasthan,Jodhpur,Jodhpur District Hospital,5746333866,10:00 AM - 01:00 PM | 02:00 PM - 05:00 PM,Both
Dr. Hunar Kala,Physiotherapist,Maharashtra,Sindhudurg,"Lilavati Hospital, Sindhudurg",0888344732,09:00 AM - 12:00 PM | 10:00 AM - 01:00 PM,Online
Dr. Urvi Bedi,Rheumatologist,Uttarakhand,Haldwani,"Sarvodaya Hospital, Haldwani",4396104556,10:00 AM - 01:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Renee Koshy,Orthopedic Surgeon,West Bengal,Malda,"Apollo Hospital, Malda",2939669047,06:00 PM - 09:00 PM | 06:00 PM - 09:00 PM,Online
Dr. Nitya Maharaj,Psychiatrist,Haryana,Sonipat,"Max Hospital, Sonipat",3842223100,06:00 PM - 09:00 PM | 02:00 PM - 05:00 PM,Offline
Dr. Riaan Sachdev,Urologist,Punjab,Amritsar,Amritsar District Hospital,9786137297,04:00 PM - 07:00 PM | 10:00 AM - 01:00 PM,Both
Dr. Ayesha Chacko,Pediatrician,Telangana,Adilabad,"KIMS Hospital, Adilabad",7154619604,02:00 PM - 05:00 PM | 06:00 PM - 09:00 PM,Online
Dr. Aaryahi Bassi,Gynecologist,Punjab,Firozpur,Firozpur District Hospital,5586042654,04:00 PM - 07:00 PM | 04:00 PM - 07:00 PM,Offline
Dr. Kabir Sankar,Gastroenterologist,Madhya Pradesh,Sagar,Sagar District Hospital,9923292730,06:00 PM - 09:00 PM | 10:00 AM - 01:00 PM,Online
Dr. Yasmin Varkey,Gastroenterologist,Telangana,Nizamabad,"Manipal Hospital, Nizamabad",4425059332,06:00 PM - 09:00 PM | 06:00 PM - 09:00 PM,Offline
Dr. Onkar Deol,Gastroenterologist,Uttarakhand,Roorkee,Roorkee District Hospital,4126765679,10:00 AM - 01:00 PM | 10:00 AM - 01:00 PM,Online
Dr. Jivika Sabharwal,ENT Specialist,Mizoram,Lunglei,"LifeLine Hospital, Lunglei",9542209359,06:00 PM - 09:00 PM | 09:00 AM - 12:00 PM,Both
Dr. Neysa Setty,Orthopedic Surgeon,Assam,Barpeta,Barpeta District Hospital,7989312782,06:00 PM - 09:00 PM | 06:00 PM - 09:00 PM,Online
Dr. Chirag Sengupta,Physiotherapist,Tamil Nadu,Tiruchirappalli,Tiruchirappalli District Hospital,3136881051,06:00 PM - 09:00 PM | 04:00 PM - 07:00 PM,Online
Dr. Ayesha Chakraborty,Gynecologist,Maharashtra,Aurangabad,Aurangabad District Hospital,4092579128,06:00 PM - 09:00 PM | 04:00 PM - 07:00 PM,Both
Dr. Siya Sani,Orthopedic Surgeon,Puducherry,Puducherry,"KIMS Hospital, Puducherry",9337439254,09:00 AM - 12:00 PM | 04:00 PM - 07:00 PM,Both
Dr. Bhavin Kalita,Cardiologist,Bihar,Madhubani,"Medica Hospital, Madhubani",8916496055,06:00 PM - 09:00 PM | 02:00 PM - 05:00 PM,Online
Dr. Trisha Sampath,Oncologist,Ladakh,Leh,Leh District Hospital,0845192612,04:00 PM - 07:00 PM | 09:00 AM - 12:00 PM,Offline
Dr. Vanya Dayal,Endocrinologist,Karnataka,Raichur,"Manipal Hospital, Raichur",3285976496,10:00 AM - 01:00 PM | 06:00 PM - 09:00 PM,Online
Dr. Alia Sabharwal,Rheumatologist,Odisha,Puri,Puri District Hospital,2884742235,04:00 PM - 07:00 PM | 04:00 PM - 07:00 PM,Online
Dr. Kiaan Ravi,Rheumatologist,Andhra Pradesh,Anantapur,"Apollo Hospital, Anantapur",4796599426,10:00 AM - 01:00 PM | 06:00 PM - 09:00 PM,Offline
Dr. Sara Sodhi,Dentist,Madhya Pradesh,Betul,Betul District Hospital,9030543071,04:00 PM - 07:00 PM | 06:00 PM - 09:00 PM,Online
Dr. Nayantara Dass,Ophthalmologist,Tamil Nadu,Erode,Erode District Hospital,2362709681,04:00 PM - 07:00 PM | 02:00 PM - 05:00 PM,Offline
Dr. Anaya Doshi,Neurologist,West Bengal,Bardhaman,Bardhaman District Hospital,8732604539,09:00 AM - 12:00 PM | 10:00 AM - 01:00 PM,Offline
